TimeStamp,WeightedRa,Qmax0,CycleCount,NominalChargeCapacity,TimeAtHighSoc,ChargingVoltage,BHServiceFlags,BHCalibrationFlags
2023-02-17 04:02:50,108,3076,90,2976,fd0000006a0000000000000000000000,3952,-2113404925,1088
2023-02-17 16:02:50,108,3076,90,2976,fd0000006c0000000000000000000000,4498,-2147483645,1088
2023-02-18 04:02:50,108,3076,90,2979,fd0000006c0000000000000000000000,4498,-2147483645,1088
2023-02-18 16:02:50,110,3076,91,2979,fd0000006c0000000000000000000000,4271,-2147483645,1088
2023-02-19 04:02:51,110,3076,93,2982,fd0000006c0000000000000000000000,4076,-2147483645,1088
2023-02-19 16:06:53,113,3076,93,2982,fd0000006c0000000000000000000000,4029,-2147483645,1088
2023-02-20 04:06:53,113,3076,94,2984,fd0000006c0000000000000000000000,4102,-2147483645,1088
2023-02-20 16:09:11,119,3096,95,2984,fe0000006e0000000000000000000000,4498,-2147483645,1088
2023-02-21 04:06:53,118,3096,97,2999,000100006f0000000000000000000000,3913,-2147483645,1088
2023-02-21 16:17:13,117,3109,98,3004,000100006f0000000000000000000000,4312,-2147483645,1088
2023-02-22 04:06:54,119,3109,99,3012,000100006f0000000000000000000000,4269,-2147483645,1088
2023-02-22 16:16:27,130,3109,99,3012,03010000730000000100000000000000,4368,-2147483645,1088
2023-02-23 04:06:54,124,3120,100,3005,03010000730000000100000000000000,3947,-2147483645,1088
2023-02-23 16:17:54,123,3140,100,3005,09010000740000000100000000000000,4498,-2147483645,1088
2023-02-24 04:06:54,126,3144,101,3010,09010000740000000100000000000000,4498,3,1120
